Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
57,44977,13209,312,215,1,1,0,car,1,1
53,79625,13266,737,197,8,1,1,home,1,0
62,49291,23437,837,42,2,1,1,car,0,1
64,26630,949,449,53,5,0,0,home,0,1
44,43994,6560,307,443,4,0,1,personal,1,1
35,57496,17370,328,330,8,1,1,car,0,1
52,57988,8239,595,251,2,0,0,education,1,0
52,33683,14429,639,295,9,1,1,personal,0,1
44,63942,11150,738,378,7,0,0,car,1,0
61,23556,20526,443,271,7,1,0,car,1,1
32,67162,4434,818,455,1,0,1,home,1,0
59,30209,16109,344,413,2,1,0,personal,0,1
22,46606,18747,538,123,4,1,0,personal,0,1
23,65968,4927,454,367,4,0,0,personal,0,1
57,51794,13914,480,387,3,1,1,personal,0,1
37,62250,5172,514,339,7,1,1,home,1,0
22,59279,10150,387,266,8,1,1,education,1,1
22,69294,8717,555,348,2,1,0,personal,1,0
48,65933,-2013,810,29,4,0,0,home,0,0
43,43193,12121,372,463,3,1,1,education,0,1
57,59494,10716,478,35,2,0,1,education,0,1
52,27101,17395,511,6,6,0,0,home,1,1
53,49131,13055,533,396,4,0,1,personal,0,1
21,62277,21454,764,111,6,0,1,education,0,0
39,52007,10535,522,294,2,1,1,personal,1,1
22,56699,9472,563,77,4,1,1,personal,1,1
64,46800,9078,506,349,6,0,1,car,0,0
46,66936,7802,665,147,5,1,0,personal,1,0
52,48793,-1038,575,67,3,0,1,car,0,0
26,43018,8899,679,392,8,1,1,education,1,1
52,63297,-339,608,8,7,1,0,home,1,0
24,28922,12260,567,122,3,1,0,car,1,1
31,57515,3799,363,340,6,0,0,home,0,0
37,34362,5528,649,175,4,0,0,education,0,0
58,69168,6652,793,388,5,1,1,personal,0,0
44,46084,8975,822,179,5,0,1,education,1,0
25,52024,10034,397,85,7,0,1,home,1,1
54,56188,15422,370,451,5,1,1,education,1,1
26,21054,7112,663,45,3,0,0,personal,1,0
42,40241,12400,575,136,5,1,0,education,0,1
31,65653,23654,349,343,7,1,1,personal,0,1
36,63016,11886,657,16,5,1,1,car,0,1
53,54245,9097,784,333,5,0,1,home,1,0
29,29758,6104,383,195,9,1,1,personal,1,1
26,58782,9028,595,9,3,1,0,personal,0,0
36,60700,5568,535,316,6,0,1,education,1,0
49,50705,11343,355,334,1,0,0,car,0,1
23,68347,10517,659,333,5,0,0,personal,1,0
40,39748,-811,409,327,8,0,0,car,1,0
56,42352,9907,491,15,5,1,0,car,0,1
39,12730,15380,392,327,9,0,1,education,0,1
46,63797,8004,359,102,6,0,1,personal,1,1
23,54707,6735,338,226,8,0,1,education,0,0
39,24772,3111,839,425,8,0,1,home,0,1
40,23621,710,348,278,3,1,0,home,1,1
52,36910,14156,719,408,7,0,0,personal,1,0
27,61904,9092,312,113,7,1,0,car,1,1
61,45494,13860,335,428,6,0,1,personal,0,1
53,37928,17656,400,1,7,1,0,personal,1,1
60,34908,14606,385,266,2,1,0,home,1,1
59,34236,7288,815,208,9,0,0,home,1,1
38,20994,10724,522,110,1,1,0,car,1,1
60,31889,6926,637,200,1,0,1,car,1,1
21,33941,6458,465,440,3,1,0,personal,0,1
31,60239,11714,682,369,3,1,0,education,1,0
48,47514,5838,675,473,1,1,1,personal,1,0
45,37616,-1045,770,306,7,0,1,car,0,0
43,84645,5559,330,12,4,1,1,education,1,1
51,40041,8465,674,345,2,0,0,home,1,0
50,67506,17606,310,465,5,1,0,car,0,1
62,74316,7545,601,188,6,1,0,car,1,0
55,26450,12559,395,154,9,1,0,education,0,1
27,51109,9158,489,368,4,1,1,car,1,1
36,42236,16132,752,334,2,1,0,car,0,0
46,41016,15785,491,425,5,1,0,car,0,1
22,58330,15880,785,420,3,0,1,car,1,0
21,40656,1330,565,377,2,0,1,car,0,0
32,42560,11033,723,279,1,0,1,car,0,0
25,47478,13794,427,171,2,1,0,car,1,1
57,44399,11907,537,134,6,0,0,car,1,0
52,32396,13182,654,453,8,1,0,home,0,1
29,61938,10291,411,427,3,0,0,car,1,0
61,65727,6276,745,25,9,0,0,home,0,0
55,55154,1514,642,18,9,1,1,home,0,1
39,44351,6772,444,190,2,1,1,personal,1,1
36,39421,23390,364,141,8,0,0,personal,1,1
23,39445,7571,546,43,5,0,0,home,0,1
40,85360,203,789,334,4,0,0,home,1,0
44,64067,13663,738,284,5,0,0,car,1,0
53,37398,14277,405,146,4,1,0,personal,0,1
44,52470,16436,480,315,8,0,1,education,0,0
31,44561,12354,483,444,4,1,1,personal,0,1
28,58757,14228,525,319,6,1,1,home,0,1
56,58152,19201,388,441,2,0,0,home,0,0
58,66254,6272,829,92,5,1,0,car,0,0
60,37241,5280,670,179,6,0,1,car,1,0
40,51571,4527,698,56,5,1,1,personal,0,0
55,23771,8671,405,155,2,1,0,car,1,1
45,31139,17167,570,160,7,0,1,education,1,1
55,63261,12640,802,111,4,1,1,education,0,1
45,35739,12443,824,137,8,1,0,car,1,0
49,37386,903,331,232,7,0,1,education,0,1
38,49875,6534,692,468,7,1,1,education,1,0
38,60421,821,339,220,9,1,1,personal,0,1
22,34087,15856,517,68,1,0,0,education,0,0
55,-2212,17928,381,302,6,0,1,home,0,1
36,36946,13897,500,249,6,1,1,home,0,1
61,68084,5066,746,323,6,1,1,personal,1,0
56,55147,17410,727,410,6,1,0,car,1,0
53,69858,8733,337,392,7,0,0,personal,1,0
24,33022,3927,510,6,6,1,1,car,1,1
53,25409,5177,743,464,1,1,0,car,1,0
34,56938,7849,626,280,3,1,1,car,0,0
41,53600,10247,526,432,2,1,0,car,0,0
40,54583,9193,347,94,6,1,0,car,0,1
28,63994,2936,317,429,8,1,1,personal,0,1
27,56325,16066,738,269,3,0,1,car,0,0
23,56084,9246,486,197,8,0,1,education,1,1
37,60725,6431,644,25,8,1,0,education,0,0
53,57536,15551,523,148,5,1,1,car,0,1
32,62861,4082,787,118,8,0,0,education,1,0
42,65127,1855,528,338,6,0,0,home,1,0
42,72975,16362,689,367,5,0,1,personal,0,0
50,40262,19456,487,338,9,1,0,personal,0,1
58,57208,7689,569,66,7,1,1,car,1,1
58,44445,9770,609,458,8,1,0,car,0,1
28,37496,4266,431,301,1,1,1,home,0,1
47,39656,10027,371,370,2,0,0,car,0,1
47,57424,7621,486,175,8,0,0,education,1,1
54,56273,9489,785,319,9,0,1,home,0,0
41,56006,12046,490,76,4,0,0,education,0,1
50,46614,4509,721,461,9,1,1,personal,1,1
53,50051,8190,419,114,4,1,0,education,1,1
48,62266,981,519,111,9,0,0,personal,1,0
53,27659,8225,352,249,7,0,0,education,0,1
25,50369,9532,750,439,2,0,1,personal,1,0
39,51349,11144,711,203,9,0,1,car,0,0
24,61299,11197,536,147,4,0,1,education,1,0
55,29746,14519,705,35,8,1,1,personal,0,1
37,72427,2301,721,309,7,1,1,education,1,0
64,53204,2568,546,26,7,0,0,home,0,0
48,53998,12644,371,238,8,0,0,car,0,1
50,43979,-194,484,14,1,0,1,personal,1,0
49,58070,10916,305,374,5,1,0,home,1,1
26,50719,4098,505,45,2,1,0,education,0,1
55,68134,17864,843,428,2,1,0,home,1,0
61,28377,11252,686,216,1,0,0,education,0,0
57,52633,8904,375,233,5,1,1,car,1,1
44,56127,16138,476,193,2,0,0,home,1,0
49,47204,4682,648,51,4,1,1,car,0,1
51,43930,5632,554,427,3,1,1,personal,1,1
55,44555,3692,607,375,3,1,0,education,1,0
53,52619,5674,644,214,2,0,1,education,0,0
41,22850,10305,426,151,6,0,0,car,0,1
52,64475,12469,586,440,2,1,0,car,1,1
43,42798,14807,786,275,8,0,0,personal,0,0
53,51917,876,682,338,8,0,1,home,1,0
23,55506,9140,705,76,5,0,1,education,1,0
38,42112,4459,687,439,7,0,1,education,0,0
45,48034,8973,824,220,4,0,0,personal,0,0
62,19471,21670,575,348,1,0,0,personal,0,0
51,60981,11459,799,444,2,0,0,car,0,0
23,66201,14497,636,187,4,1,1,car,0,0
60,24485,19803,780,289,1,0,0,home,0,0
44,43902,15636,572,403,8,0,0,personal,1,0
52,31551,7760,357,28,9,1,1,home,1,1
42,47333,3620,627,379,4,1,1,personal,0,0
43,59729,9849,408,180,3,1,1,education,1,0
22,64809,7161,578,253,2,1,0,personal,1,0
47,66827,2377,627,126,5,0,0,personal,1,0
62,69658,11204,614,177,3,1,0,education,1,0
22,46663,11329,773,37,7,1,1,personal,0,1
46,32795,18845,410,410,6,0,1,home,1,1
37,48281,8191,528,99,1,0,1,car,1,1
60,59499,11400,796,98,8,0,1,car,0,0
53,31591,6672,455,127,2,1,0,home,0,1
29,74902,14365,772,168,5,0,0,education,0,0
63,63468,9376,571,80,9,1,0,personal,0,1
59,46901,4137,301,294,8,0,0,home,1,0
49,39336,9932,810,333,2,0,0,car,0,0
62,39963,11952,585,126,9,1,0,car,1,1
46,51113,11276,312,343,5,0,0,home,1,0
55,46558,15229,797,310,6,0,0,car,0,0
45,64257,2759,537,150,3,0,1,home,0,0
44,44855,5786,393,16,3,0,1,car,0,1
33,57582,13198,637,28,8,0,0,home,0,1
27,49566,6373,470,419,2,1,1,personal,0,1
56,54045,11202,766,444,2,1,0,personal,0,0
40,46549,-2098,442,173,5,0,0,personal,1,0
21,60615,23579,500,46,6,1,1,personal,1,1
28,60838,8651,479,328,2,1,0,car,1,0
36,56898,15969,663,236,5,1,0,education,1,1
34,59112,8315,778,439,7,0,0,home,0,0
32,35834,12073,770,214,8,0,0,education,0,0
43,54848,17459,683,85,7,0,0,car,1,0
35,68738,15829,716,282,8,1,0,car,1,0
48,57371,8977,607,232,9,1,0,education,1,0
54,34539,9323,666,85,5,0,1,education,0,1
22,49253,15017,300,409,5,0,1,car,0,1
52,55624,21666,343,65,4,1,0,car,0,1
43,38639,10961,397,134,9,1,1,home,1,1
42,29625,19785,564,151,5,0,0,personal,1,1
45,45258,8792,439,115,2,1,0,personal,0,1
42,38887,14759,780,64,8,1,0,home,0,0
42,49785,15505,536,343,7,1,0,education,1,0
62,26128,7950,371,427,8,1,1,car,1,1
26,58470,6264,489,363,3,1,1,education,0,1
35,40480,15726,567,407,4,1,1,personal,1,1
63,64936,7342,620,352,5,1,1,personal,0,0
57,45846,5528,406,158,6,0,0,education,0,0
53,49619,6580,531,77,1,0,1,personal,1,0
28,47404,7321,341,146,4,1,0,car,1,1
64,39677,14283,438,343,5,1,0,home,1,1
64,87084,12575,572,463,7,1,1,education,0,0
25,42562,13578,780,225,5,0,0,car,1,0
59,65352,12106,715,405,1,0,1,car,1,0
24,33595,7030,805,313,7,1,1,personal,0,1
26,55581,13485,723,103,8,0,1,car,0,0
52,57183,15912,706,407,7,1,1,education,1,0
50,49637,12922,689,347,4,1,1,car,0,0
55,41434,12248,641,301,8,1,0,home,0,1
60,46050,6164,792,428,5,1,1,car,0,1
36,43950,11059,491,466,9,1,1,car,1,1
33,86030,5898,798,88,5,1,0,home,1,0
62,49660,9879,532,371,1,1,1,car,0,1
50,57873,1798,526,303,9,0,1,car,0,1
39,76724,1837,670,168,5,1,0,personal,0,0
37,36855,9044,438,435,6,0,0,education,1,1
39,50564,7257,448,170,4,1,1,personal,0,1
48,45962,10533,414,135,6,1,0,education,0,1
46,48707,9326,749,50,8,0,1,home,1,0
57,47314,10150,362,432,3,0,0,home,0,0
46,39021,13043,403,340,5,1,1,home,1,1
43,52931,7683,572,347,2,0,1,education,1,0
29,34060,8902,305,134,2,1,1,education,1,1
32,64833,17275,446,347,7,1,0,education,0,1
21,59349,10015,483,137,6,0,1,home,0,1
21,42598,9103,327,245,4,0,0,education,1,0
54,43325,10412,849,109,5,0,1,car,0,1
52,54132,9193,418,313,1,0,1,personal,1,0
45,38021,6452,592,287,7,1,1,home,0,1
60,77179,5009,670,21,8,0,1,personal,1,0
21,55368,6182,543,90,9,0,1,car,1,1
36,55898,14364,517,296,8,0,0,education,0,0
59,60221,6850,476,112,5,0,0,personal,0,0
25,41308,9225,598,301,3,0,0,car,0,1
42,66335,13503,357,77,9,1,1,car,0,1
49,51718,8608,568,177,6,1,1,personal,1,0
23,64252,13166,607,343,5,0,0,home,1,0
32,47030,2296,587,148,3,0,1,personal,0,1
46,69759,9337,404,101,6,1,1,home,0,1
36,56020,10394,527,246,3,0,1,education,1,1
57,82737,10115,546,117,6,1,0,home,0,1
42,44457,1735,793,92,4,1,0,education,0,0
49,53068,16015,382,401,2,0,0,personal,0,0
34,34526,5726,485,28,8,1,0,education,0,1
48,42060,11675,551,425,4,0,0,car,1,0
25,59280,10039,654,450,9,0,1,education,1,0
50,66939,15018,509,25,7,1,1,home,0,1
25,94475,20937,746,58,2,1,1,home,1,1
32,48550,3548,759,297,4,0,1,home,0,0
36,36001,6755,771,134,5,1,0,education,0,0
46,61299,10945,669,331,3,0,0,home,0,0
46,33082,4473,791,249,9,1,1,home,1,1
41,58464,13910,436,38,5,1,0,car,1,1
59,42466,14216,666,390,2,0,1,education,1,1
56,53173,12797,483,429,3,0,1,car,1,1
53,66365,11182,586,75,9,0,1,home,1,0
50,48338,16848,771,142,7,1,1,home,0,1
57,63993,4221,674,322,2,0,0,home,0,0
43,63097,10326,836,168,9,0,1,education,1,0
30,22035,6305,810,259,4,1,0,personal,1,1
25,36475,14449,549,373,9,1,1,home,1,1
56,26572,833,809,355,2,0,1,home,0,0
54,80026,9859,372,225,4,0,1,home,1,0
51,48419,11676,581,152,5,0,1,home,0,0
30,76712,5262,659,19,2,0,0,education,0,0
39,25505,6869,309,146,1,1,1,personal,1,1
52,41408,10076,510,448,7,1,0,personal,0,1
21,62007,14775,451,241,1,0,1,personal,0,0
25,52689,4835,304,372,8,0,1,home,1,1
24,57992,5707,494,381,3,0,1,home,0,1
36,31192,15627,582,344,6,1,0,personal,1,1
44,70652,8635,763,237,7,0,1,personal,0,0
36,61655,6112,412,35,1,0,1,home,1,1
22,56024,13643,570,190,6,1,1,home,1,1
48,39715,7559,462,1,7,1,1,car,0,1
52,54857,15137,759,153,6,0,1,car,1,0
47,45627,6681,404,429,4,0,0,car,0,0
40,25242,9202,581,433,1,1,0,personal,0,0
44,49243,14724,461,126,9,0,1,education,1,1
32,47649,8868,650,345,4,0,1,home,0,0
55,65936,13780,733,400,7,1,0,car,1,0
53,16483,9672,439,226,7,1,1,education,0,1
53,53527,19908,770,221,2,1,0,home,0,0
63,32666,17843,431,403,1,0,1,education,1,1
57,54788,3359,386,407,8,1,1,personal,0,1
32,55614,12611,482,211,8,1,0,personal,0,1
23,48697,5917,667,25,7,0,1,personal,0,0
21,62109,10957,428,16,8,0,0,car,0,1
53,31313,10341,545,182,3,1,0,home,0,1
60,66615,4723,677,329,2,1,0,personal,0,0
30,39378,15292,448,129,7,0,1,car,0,1
63,26661,11016,732,42,8,0,0,car,0,1
64,45914,8576,768,403,1,1,0,car,1,0
49,18572,7809,745,418,9,1,1,car,0,0
33,53812,10698,780,336,4,0,1,personal,0,0
32,46111,12039,593,236,4,1,1,car,1,1
51,68505,9375,442,360,3,0,1,personal,1,0
22,59733,-4162,549,439,6,1,1,personal,1,0
55,29120,10084,601,402,1,0,1,car,0,1
43,37424,2792,324,34,6,0,0,personal,1,1
37,57809,8952,369,345,2,1,1,home,1,1
46,62706,2977,411,381,9,1,0,home,0,1
28,68337,2917,663,45,2,0,1,education,0,0
49,68217,16175,602,134,7,1,0,home,1,0
46,48657,8399,770,21,1,1,0,personal,1,0
30,55439,8016,390,122,7,1,1,personal,0,1
46,69481,12412,829,70,5,0,1,home,0,0
54,45450,8147,491,352,8,1,0,car,0,0
61,55695,20519,541,361,4,1,1,car,0,1
27,45096,8634,437,48,7,0,1,personal,0,1
24,41735,11825,644,39,6,1,0,car,1,1
31,50725,14854,479,287,5,1,0,education,0,1
49,39686,18011,802,10,4,0,0,education,0,0
56,48036,6289,502,30,7,0,1,home,0,1
45,34475,7910,491,244,5,1,1,home,0,0
41,47150,16372,304,274,5,1,1,car,0,1
56,56725,14050,536,444,1,0,1,personal,1,1
30,41168,15375,610,88,2,0,0,home,0,1
57,50139,3156,848,244,5,1,1,education,1,1
29,52090,17739,355,381,3,1,0,home,0,0
44,56788,6192,742,329,2,1,1,home,1,0
55,47996,10961,536,479,4,0,1,education,1,1
55,66287,9258,496,15,4,1,0,personal,0,1
56,18486,5607,813,4,4,0,1,home,0,0
38,94066,2937,748,191,4,0,1,home,0,0
59,36932,1280,659,168,3,0,0,home,0,0
52,56050,10595,329,9,7,1,1,car,0,1
44,35922,2373,407,109,9,1,0,home,1,1
43,59664,4330,744,137,5,1,0,education,0,0
52,54148,8909,737,154,4,0,0,personal,0,0
57,40239,-3194,756,388,2,1,0,personal,1,0
32,66096,13894,794,209,2,0,1,education,0,0
33,47540,-2049,546,272,5,0,1,car,1,0
43,58208,9613,842,143,7,0,1,education,0,0
45,36242,10075,738,99,9,0,0,personal,1,0
55,49536,12690,577,377,7,0,1,education,0,1
61,80051,9791,410,308,5,0,1,car,1,0
50,64444,20089,684,69,6,1,1,personal,1,1
37,54614,11081,490,247,3,0,1,car,0,0
40,43266,15268,789,261,5,1,0,education,0,1
45,51012,6382,725,276,8,0,0,home,0,0
42,52963,10603,704,79,1,1,1,education,1,1
33,56738,17737,634,146,1,1,0,car,1,1
39,33850,8811,508,111,7,1,1,education,1,1
56,60026,10961,321,258,5,1,1,home,0,1
32,33656,14904,507,93,5,0,1,car,0,1
61,74466,6288,307,13,1,0,0,education,1,1
39,38425,-807,828,260,9,0,1,car,0,0
32,54449,11277,465,426,1,0,0,car,1,0
29,65077,14943,795,109,5,1,0,personal,0,0
27,46214,3242,728,330,9,1,1,personal,0,1
48,55109,13351,462,189,4,1,0,car,1,1
34,71527,13384,665,95,8,0,0,education,0,0
51,58466,-1367,825,105,6,1,1,education,0,0
39,55333,5318,538,8,3,0,0,education,0,0
36,24728,8020,371,67,4,1,0,home,0,1
25,35994,9101,744,191,2,1,1,car,0,1
55,65703,6284,808,366,1,1,1,car,1,0
32,58549,6014,568,256,8,1,0,home,0,0
45,60821,18357,714,9,1,1,1,car,1,1
41,59530,9462,544,478,1,0,1,car,0,0
56,69346,6524,359,117,4,1,0,home,0,0
43,46079,9794,305,267,6,0,0,personal,1,0
36,51807,12685,706,99,9,0,1,car,1,0
59,34569,10258,516,298,1,0,0,home,0,0
62,30829,8971,325,397,7,0,1,education,0,1
59,25343,6749,304,164,5,0,1,personal,1,1
34,36722,6689,831,376,8,0,0,education,1,0
51,73288,7010,689,141,7,0,0,car,1,0
25,26709,11694,747,268,4,0,1,personal,1,0
55,45446,5029,445,37,4,1,1,home,0,1
43,30602,11966,687,74,6,1,1,car,0,1
49,40985,17064,548,73,6,0,1,home,0,1
63,52545,11628,825,308,9,0,0,personal,0,0
31,39498,8152,761,199,5,0,1,education,0,0
38,66344,3509,312,130,8,1,0,car,1,1
32,73009,17890,683,246,5,1,0,car,1,0
29,16263,4149,698,312,2,0,1,home,1,0
30,39755,14242,318,60,6,0,0,personal,0,1
64,50887,13192,790,279,9,1,0,home,1,0
